"TIME","GEO","WSTATUS","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2011","Belgium","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","10.9",""
"2011","Belgium","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","12.6",""
"2011","Bulgaria","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","21.7","b"
"2011","Bulgaria","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","18.5","b"
"2011","Czechia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","7.0","b"
"2011","Czechia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","10.4","b"
"2011","Denmark","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","13.1",""
"2011","Denmark","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","14.8",""
"2011","Germany (until 1990 former territory of the FRG)","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","9.2","b"
"2011","Germany (until 1990 former territory of the FRG)","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","12.4","b"
"2011","Estonia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","19.1",""
"2011","Estonia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.6",""
"2011","Ireland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","25.4",""
"2011","Ireland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","22.4",""
"2011","Greece","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","18.8",""
"2011","Greece","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","28.2",""
"2011","Spain","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","26.2",""
"2011","Spain","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","34.9",""
"2011","France","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force",":",""
"2011","France","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force",":",""
"2011","Croatia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","20.0",""
"2011","Croatia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","24.7",""
"2011","Italy","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.7",""
"2011","Italy","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","26.7",""
"2011","Cyprus","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","13.9",""
"2011","Cyprus","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.1",""
"2011","Latvia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","27.8",""
"2011","Latvia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","24.6",""
"2011","Lithuania","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","21.5",""
"2011","Lithuania","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.2",""
"2011","Luxembourg","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","7.7",""
"2011","Luxembourg","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","15.9",""
"2011","Hungary","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.6",""
"2011","Hungary","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.3",""
"2011","Malta","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.4",""
"2011","Malta","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","15.5",""
"2011","Netherlands","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","11.4",""
"2011","Netherlands","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.5",""
"2011","Austria","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","9.5",""
"2011","Austria","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","13.1",""
"2011","Poland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","13.8",""
"2011","Poland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.2",""
"2011","Portugal","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","18.2",""
"2011","Portugal","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","23.1",""
"2011","Romania","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.8",""
"2011","Romania","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.1",""
"2011","Slovenia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","13.8",""
"2011","Slovenia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","14.9",""
"2011","Slovakia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","15.5","b"
"2011","Slovakia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.0","b"
"2011","Finland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","19.4",""
"2011","Finland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.9",""
"2011","Sweden","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","14.9",""
"2011","Sweden","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.5",""
"2011","Iceland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","11.0",""
"2011","Iceland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","9.3",""
"2011","Norway","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","7.7",""
"2011","Norway","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","10.7",""
"2011","Switzerland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","9.8",""
"2011","Switzerland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.1",""
"2011","Montenegro","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","30.2",""
"2011","Montenegro","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","33.6",""
"2011","North Macedonia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","33.8",""
"2011","North Macedonia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","32.5",""
"2011","Serbia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","32.5",""
"2011","Serbia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","36.7",""
"2011","Turkey","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","13.0",""
"2011","Turkey","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","21.2",""
"2012","Belgium","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","12.6",""
"2012","Belgium","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.2",""
"2012","Bulgaria","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","22.3",""
"2012","Bulgaria","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.0",""
"2012","Czechia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","7.3",""
"2012","Czechia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","10.9",""
"2012","Denmark","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","12.6",""
"2012","Denmark","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","14.7",""
"2012","Germany (until 1990 former territory of the FRG)","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.5",""
"2012","Germany (until 1990 former territory of the FRG)","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","11.5",""
"2012","Estonia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.1",""
"2012","Estonia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.1",""
"2012","Ireland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","25.8",""
"2012","Ireland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","23.3",""
"2012","Greece","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","26.2",""
"2012","Greece","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","36.6",""
"2012","Spain","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","30.3",""
"2012","Spain","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","39.2",""
"2012","France","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force",":",""
"2012","France","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force",":",""
"2012","Croatia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","22.7",""
"2012","Croatia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","26.7",""
"2012","Italy","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","18.9",""
"2012","Italy","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","29.6",""
"2012","Cyprus","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","19.2",""
"2012","Cyprus","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","20.7",""
"2012","Latvia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","24.3",""
"2012","Latvia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","24.0",""
"2012","Lithuania","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","18.7",""
"2012","Lithuania","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","15.7",""
"2012","Luxembourg","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.6",""
"2012","Luxembourg","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.7",""
"2012","Hungary","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.8",""
"2012","Hungary","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.7",""
"2012","Malta","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.2",""
"2012","Malta","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","15.1",""
"2012","Netherlands","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","12.7",""
"2012","Netherlands","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.5",""
"2012","Austria","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","10.0",""
"2012","Austria","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","13.9",""
"2012","Poland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","14.3",""
"2012","Poland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","18.0",""
"2012","Portugal","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","23.2",""
"2012","Portugal","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","26.9",""
"2012","Romania","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.2",""
"2012","Romania","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.2",""
"2012","Slovenia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","13.6",""
"2012","Slovenia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.1",""
"2012","Slovakia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","15.3",""
"2012","Slovakia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.9",""
"2012","Finland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","19.4",""
"2012","Finland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.6",""
"2012","Sweden","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.0",""
"2012","Sweden","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.6",""
"2012","Iceland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","10.6",""
"2012","Iceland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","10.2",""
"2012","Norway","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.2",""
"2012","Norway","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","10.3",""
"2012","Switzerland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","10.5",""
"2012","Switzerland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.6",""
"2012","Montenegro","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","31.3",""
"2012","Montenegro","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","34.2",""
"2012","North Macedonia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","33.7",""
"2012","North Macedonia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","31.9",""
"2012","Serbia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","33.0",""
"2012","Serbia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","37.8",""
"2012","Turkey","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","12.6",""
"2012","Turkey","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","20.0",""
"2013","Belgium","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","13.8",""
"2013","Belgium","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.0",""
"2013","Bulgaria","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","22.5",""
"2013","Bulgaria","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.6",""
"2013","Czechia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","7.2",""
"2013","Czechia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","11.5",""
"2013","Denmark","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","12.0",""
"2013","Denmark","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","14.0",""
"2013","Germany (until 1990 former territory of the FRG)","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.5",""
"2013","Germany (until 1990 former territory of the FRG)","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","11.2",""
"2013","Estonia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","14.2",""
"2013","Estonia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","14.3",""
"2013","Ireland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","23.0",""
"2013","Ireland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","23.2",""
"2013","Greece","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","29.5",""
"2013","Greece","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","40.4",""
"2013","Spain","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","32.1",""
"2013","Spain","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","41.6",""
"2013","France","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force",":",""
"2013","France","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force",":",""
"2013","Croatia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","25.9",""
"2013","Croatia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","28.9",""
"2013","Italy","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","21.2",""
"2013","Italy","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","30.9",""
"2013","Cyprus","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","24.7",""
"2013","Cyprus","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","27.7",""
"2013","Latvia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","19.9",""
"2013","Latvia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","20.1",""
"2013","Lithuania","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.5",""
"2013","Lithuania","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","14.7",""
"2013","Luxembourg","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","10.0",""
"2013","Luxembourg","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.4",""
"2013","Hungary","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.0",""
"2013","Hungary","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.4",""
"2013","Malta","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.9",""
"2013","Malta","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","13.5",""
"2013","Netherlands","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.6","b"
"2013","Netherlands","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","25.5","b"
"2013","Austria","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","10.7",""
"2013","Austria","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","14.6",""
"2013","Poland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","14.7",""
"2013","Poland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","18.5",""
"2013","Portugal","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","24.5",""
"2013","Portugal","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","28.5",""
"2013","Romania","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.7",""
"2013","Romania","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.1",""
"2013","Slovenia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.5",""
"2013","Slovenia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.3",""
"2013","Slovakia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.1",""
"2013","Slovakia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.3",""
"2013","Finland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","20.6",""
"2013","Finland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","20.0",""
"2013","Sweden","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.4",""
"2013","Sweden","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","20.1",""
"2013","Iceland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","10.1",""
"2013","Iceland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","9.5",""
"2013","Norway","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.2",""
"2013","Norway","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","10.5",""
"2013","Switzerland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","11.0",""
"2013","Switzerland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.9",""
"2013","Montenegro","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","30.7",""
"2013","Montenegro","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","32.0",""
"2013","North Macedonia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","30.9",""
"2013","North Macedonia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","30.5",""
"2013","Serbia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","31.0",""
"2013","Serbia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","36.7",""
"2013","Turkey","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","12.6",""
"2013","Turkey","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","21.7",""
"2014","Belgium","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","13.7",""
"2014","Belgium","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.3",""
"2014","Bulgaria","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","20.6",""
"2014","Bulgaria","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.7",""
"2014","Czechia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","6.3",""
"2014","Czechia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","10.2",""
"2014","Denmark","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","11.0",""
"2014","Denmark","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","13.1",""
"2014","Germany (until 1990 former territory of the FRG)","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.1",""
"2014","Germany (until 1990 former territory of the FRG)","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","10.4",""
"2014","Estonia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","12.7",""
"2014","Estonia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","12.7",""
"2014","Ireland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","20.0",""
"2014","Ireland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","20.1",""
"2014","Greece","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","28.9",""
"2014","Greece","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","39.5",""
"2014","Spain","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","30.2",""
"2014","Spain","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","40.4",""
"2014","France","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.8",""
"2014","France","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","23.1",""
"2014","Croatia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","24.0",""
"2014","Croatia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","28.7",""
"2014","Italy","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","22.5",""
"2014","Italy","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","32.6",""
"2014","Cyprus","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","26.6",""
"2014","Cyprus","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","29.0",""
"2014","Latvia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","18.1",""
"2014","Latvia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.5",""
"2014","Lithuania","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","15.2",""
"2014","Lithuania","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","13.0",""
"2014","Luxembourg","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","10.5",""
"2014","Luxembourg","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.6",""
"2014","Hungary","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","12.3",""
"2014","Hungary","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","13.0",""
"2014","Malta","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.4",""
"2014","Malta","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","11.1",""
"2014","Netherlands","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.6",""
"2014","Netherlands","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","26.4",""
"2014","Austria","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","11.5",""
"2014","Austria","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","15.1",""
"2014","Poland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","13.3",""
"2014","Poland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.1",""
"2014","Portugal","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","21.6",""
"2014","Portugal","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","26.0",""
